movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24
httydragon,2.049629,0.7237,2.8464482,2.540215,0.74233496,2.100347,1.6981571,0.7716076,2.9091797,2.3330886,1.6564027,2.246317,2.5422368,1.7991779,2.5106497,1.3033857,0.0,1.8773965,1.5800679,1.834362,1.8793396,1.4105012,3.6243417,2.5824049,1.4056165
hustlemovie,0.6882384,0.85321265,1.5826396,1.2405543,0.7327393,0.7521243,0.71817565,0.680694,1.7524414,1.2304857,1.1878712,0.87763727,1.6867586,0.8148272,1.3636786,0.8723423,0.0,1.2014879,0.9516336,0.95047647,0.84145164,0.8755495,1.7208098,1.7350328,0.73498696
hustlersmovie,2.5271888,1.473544,5.679906,4.3018107,1.2871906,4.7082543,1.8048053,1.2054996,5.476945,2.8866668,3.4804325,2.8719912,4.7424603,3.1496437,2.6099248,1.6182315,0.0,3.1670828,1.5026832,3.1168332,3.6512277,2.9282494,6.7659903,5.6572833,1.787314
isntitromantic,0.5070389,0.40444887,0.9706644,0.71203774,0.45475638,0.58455724,0.50468206,0.63071394,1.1750724,1.287992,1.0793508,0.8437454,0.9976327,0.7582834,1.1996773,0.8159936,0.0,0.9853332,0.8449209,0.94186825,0.47216165,0.81467634,1.3724844,0.8267661,0.45861968
itmovieofficial,0.6258275,0.47345197,1.3789139,1.0765413,0.53534085,0.96943516,0.8036643,0.5683587,1.5744187,1.4211547,0.9673336,0.95134413,1.1842257,0.84473217,1.0841895,0.4855566,0.0,1.0191572,0.7553358,0.67362124,0.68220246,0.63974124,1.5074537,1.1144496,0.677553
jayandsilentbob,0.924706,0.2866353,2.2336662,1.414854,1.1983283,0.9746634,0.6408213,1.0657477,1.949132,2.1827946,1.8206403,1.4835873,1.8311956,1.7404257,2.3794377,1.0849237,0.0,1.7904679,1.1183628,1.4437494,1.0949129,1.874175,2.517552,1.6889951,0.4627222
johnwickmovie,1.3697879,0.56992656,2.015437,1.3507564,0.90692437,0.92302585,0.9760092,0.59236854,1.8835284,1.8618073,1.5681161,1.2691892,1.9541837,1.3113545,1.9235351,0.9651789,0.0,1.754086,0.8708398,0.9493312,0.9632205,1.4566174,2.3093388,1.5523548,0.58719414
jojorabbitmovie,1.0164698,0.6894837,2.1221375,1.5753636,1.1471922,1.2680645,1.3620172,0.82047087,1.7101889,1.7776295,1.7745088,1.2792987,1.7819018,0.99250036,1.670351,0.88854414,0.0,1.0268729,1.2247394,1.1648282,0.8694926,1.2017958,2.2856517,1.3664826,0.8416646
jokermovie,0.5088765,0.60580283,0.8796504,0.7489948,0.37638745,0.40405178,0.4980973,0.5952861,0.85613185,0.84693015,0.71981055,0.72076666,0.8960145,0.841999,1.1639313,0.39021355,0.0,0.7123058,0.78277284,0.6168349,0.6582027,0.5733423,1.0062774,0.81908566,0.36860865
judythefilm,0.49363983,0.48267108,1.1527267,0.88944376,0.29477587,1.0255715,0.8735229,0.5746895,1.4205288,1.0654099,0.7506275,0.9573689,1.3371978,0.7004275,0.95713365,0.49136773,0.0,0.80728185,0.83504784,0.4866032,0.7206464,0.6427792,1.3283877,1.064006,0.8011297
jumanjimovie,1.4360939,0.6228973,2.076094,1.8391507,1.2899606,1.7748331,1.495165,0.793125,2.1473484,2.6717,1.6096408,1.8681487,1.6720076,1.1634175,2.9329512,1.2141957,0.0,1.58242,1.7400111,1.3247178,1.4809597,1.4957561,2.2023356,2.2128818,1.1903203
justmercyfilm,0.38157907,0.44804084,0.61246294,0.49706596,0.36197343,0.3896715,0.40582752,0.2136006,0.58171,0.79499066,0.57791984,0.39639962,0.61532086,0.40479058,0.770861,0.5650446,0.0,0.63198817,0.5550449,0.7241144,0.38486493,0.67614746,1.0021839,0.74187225,0.2803096
knivesout,1.211035,0.7059651,1.9895302,1.4165905,1.0501119,1.0788032,1.3248973,0.65207165,1.8879505,1.9388999,1.5112091,1.2444472,1.8031387,1.1826581,1.7735449,0.89576,0.0,1.2077001,1.1120672,1.125728,1.026582,0.9681062,2.3592293,1.6731957,0.6836891
