movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14
underthesilverlake,1.7917216,1.5684341,0.62824416,1.6309643,1.3022406,1.4983511,1.6961926,0.13750346,0.7371084,0.0,1.0926929,1.4557638,0.0,0.74743676,1.6058617
usmovie,0.93037647,0.79946417,0.5446962,0.84456086,0.8636863,0.63955164,0.63505775,0.3501922,0.5435214,0.0,0.6699827,0.75146353,0.2127087,0.53170264,0.8266372
wavesmovie,1.8108803,1.244632,0.37543398,1.7458081,1.2323483,1.5555538,2.088648,0.30781466,0.6877872,0.0,1.2654223,1.7886565,0.0,0.7008451,1.2893625
whatmenwant,2.1204145,1.5775245,0.7009007,1.7763647,1.6998428,1.7524323,1.5713884,0.28216463,0.69975895,0.0,0.4577003,1.669128,0.021578934,0.9943544,1.5556056
wonderparkmovie,1.6093391,1.5109799,0.7216471,0.80145574,1.2573308,1.0203633,0.91496754,0.16488892,0.7618263,0.0,0.5424242,1.4131324,0.0,0.7209692,1.3721735
wrinklestheclown,1.0308301,0.7656362,0.44273353,0.8882385,0.84530056,0.75962543,0.79476905,0.276451,0.50993276,0.0,0.47285208,0.7190931,0.0,0.66149867,0.8277629
xmenmovies,1.7507585,1.1057225,0.39874864,1.2842231,1.7937404,0.78337085,0.78193504,0.8048702,1.0437431,0.0,1.1392545,1.765898,0.5132028,0.36240438,1.4516213
yardiefilm,1.5406574,1.1731931,0.5256853,1.3396431,1.2060179,1.1710243,1.295431,0.17504197,0.7656173,0.0,0.6369662,0.99037135,0.0,0.67515236,1.3050939
yesterdaymovie,1.698442,1.2683512,0.8739295,1.5728422,1.5965732,1.3689944,1.3839737,0.27766716,0.77319497,0.0,0.9070921,1.4812497,0.08978467,0.97770345,1.3777108
zombieland,1.8488739,1.2011681,0.28413033,1.0590317,1.2635167,0.8914676,0.44281855,0.0,1.4806507,0.0,1.1166586,1.4038807,0.046069603,0.0,1.7301197
