,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
7513833405,2,4,1,1,8,0,0,4,1,4,1,0,1,0,6,0,0,0,0,0
7514276688,18,17,7,3,22,5,0,12,2,4,1,11,0,5,1,4,0,7,1,0
7523745730,4,3,0,3,5,2,0,6,0,0,2,0,0,0,1,1,0,0,0,0
7540973810,2,2,0,1,1,0,0,2,0,3,0,9,0,5,0,1,0,4,0,0
7567292874,4,4,1,0,5,1,0,8,1,3,0,20,0,11,0,3,0,12,0,0
7570210237,5,1,0,4,3,3,0,10,1,1,1,0,1,0,0,1,0,1,0,0
7572884245,9,10,3,1,5,1,0,3,1,2,0,0,0,0,0,2,0,1,0,0
7581645082,4,5,2,1,3,2,0,6,0,1,1,3,0,2,1,2,0,3,0,0
7587170477,10,8,1,2,7,1,0,7,0,3,0,6,2,1,0,4,0,2,0,0
7593379195,2,2,0,1,2,0,0,3,0,3,0,8,2,5,0,3,0,6,0,0
7597928500,1,0,0,1,5,2,0,5,0,1,1,6,0,3,0,0,0,1,0,0
7623023067,6,9,5,0,4,1,0,3,0,3,0,1,0,0,0,1,0,0,0,0
7624281505,2,3,1,0,7,0,0,2,1,3,0,3,1,1,2,0,1,1,0,0
7685867128,6,5,2,2,8,2,0,7,0,5,1,4,0,2,4,2,0,4,0,0
7691896897,1,1,1,0,3,0,0,0,1,0,0,8,0,5,0,1,0,5,0,0
7695982943,2,2,0,5,3,0,0,10,0,0,3,1,0,1,0,0,0,1,1,0
7700869959,7,6,1,0,2,0,0,3,0,2,0,4,0,2,0,4,0,2,0,0
7729973041,3,5,1,1,2,0,0,1,1,2,0,4,0,3,0,1,0,3,0,0
7730747786,0,1,0,0,1,0,0,2,0,0,0,9,0,5,0,1,0,6,0,0
7735923016,1,0,0,0,5,2,0,5,0,2,0,4,0,2,0,2,0,3,0,0
7742962126,6,6,0,1,3,2,0,3,0,2,0,0,1,0,0,2,0,3,0,0
7747511140,8,11,2,0,4,0,0,2,1,4,0,1,1,0,0,5,0,1,0,0
