uid,sid
234,114
234,37
234,122
234,104
234,40
235,81
235,41
235,43
235,25
235,113
235,70
235,45
235,125
235,16
235,22
235,39
235,108
235,79
235,40
236,80
236,94
236,16
236,54
236,89
236,76
236,29
236,79
236,98
236,136
237,80
237,87
237,149
237,1
237,26
237,101
237,153
237,116
237,50
237,98
238,41
238,32
238,109
238,60
238,88
238,16
238,72
238,84
238,21
238,58
238,29
239,24
239,73
239,12
239,25
239,65
239,60
239,83
239,72
239,22
239,79
240,0
240,10
240,87
240,92
240,11
240,68
240,69
240,25
240,144
240,65
240,113
240,60
240,44
240,61
240,16
240,54
240,46
240,72
240,19
240,133
240,20
240,134
240,21
240,29
240,22
240,97
240,30
240,79
240,107
242,0
242,128
242,13
242,129
242,71
242,83
242,101
242,86
242,29
242,79
242,40
243,90
243,24
243,92
243,60
243,96
243,17
243,72
243,47
243,48
243,76
243,20
244,24
244,105
244,2
244,96
244,46
244,47
244,48
244,76
244,9
244,50
244,97
244,79
244,151
245,0
245,10
245,81
245,99
245,146
245,42
245,142
245,51
245,3
245,4
245,74
245,53
245,125
245,71
245,101
245,6
245,19
245,27
245,56
245,7
245,77
245,9
245,49
245,58
245,118
245,141
245,78
245,108
245,79
245,123
246,41
246,82
246,87
246,43
246,94
246,132
246,14
246,45
246,96
246,17
246,114
246,130
246,104
246,38
246,22
246,141
246,39
246,64
248,81
248,146
248,127
248,42
248,92
248,51
248,52
248,148
248,95
248,60
248,115
248,100
248,53
248,125
248,71
248,101
248,18
248,111
248,152
248,114
248,37
248,7
248,153
248,116
248,67
248,49
248,143
248,121
248,39
248,108
248,135
248,79
248,123
249,81
249,124
249,4
249,162
249,26
249,27
249,37
249,8
249,21
249,143
249,108
250,32
250,43
250,94
250,113
250,115
250,130
250,56
250,7
250,48
250,116
250,21
250,49
250,58
250,50
250,29
250,97
251,80
251,41
251,24
251,154
251,92
251,25
251,65
251,113
251,60
251,44
251,45
251,96
251,111
251,86
251,114
251,47
251,76
251,120
251,21
251,22
251,97
251,135
251,79
251,40
254,0
254,25
254,102
254,44
254,61
254,70
254,96
254,21
254,97
254,79
254,40
256,81
256,41
256,24
256,51
256,25
256,44
256,96
256,116
256,62
256,104
256,22
256,78
257,80
257,82
257,105
257,113
257,88
257,15
257,45
257,96
257,21
257,119
257,50
257,22
258,41
258,127
258,65
258,4
258,70
258,17
258,21
258,49
258,78
258,40
260,10
260,24
260,11
260,35
260,60
260,44
260,61
260,45
260,16
260,83
260,37
260,20
260,40
261,31
261,99
261,41
261,24
261,11
261,59
261,68
261,3
261,155
261,94
261,4
261,110
261,113
261,44
261,161
261,14
261,45
261,6
261,46
261,72
261,89
261,120
261,21
261,141
261,159
261,79
262,82
262,128
262,11
262,34
262,161
262,14
262,62
262,21
262,29
262,112
262,39
263,0
263,68
263,69
263,65
263,88
263,72
263,19
263,47
263,20
263,134
263,21
263,22
264,81
264,41
264,106
264,102
264,44
264,125
264,162
264,83
264,86
264,39
265,31
265,24
265,92
265,59
265,68
265,25
265,60
265,61
265,96
265,72
265,114
265,76
265,79
265,64
266,0
266,81
266,32
266,51
266,11
266,12
266,35
266,52
266,4
266,113
266,5
266,95
266,74
266,147
266,125
266,71
266,26
266,83
266,17
266,18
266,126
266,75
266,46
266,36
266,84
266,37
266,56
266,57
266,8
266,66
266,76
266,21
266,143
266,159
266,108
266,79
266,123
266,40
266,64
267,80
267,157
267,110
267,60
267,18
267,46
267,72
267,104
267,40
267,64
268,82
268,51
268,25
268,65
268,60
268,44
268,14
268,16
268,96
268,89
268,22
268,107
268,40
268,23
268,64
269,128
269,51
269,124
269,101
269,18
269,86
269,36
269,72
269,19
269,122
270,73
270,35
270,161
270,71
270,83
270,75
270,72
270,21
270,118
270,121
271,41
271,51
271,68
271,25
271,113
271,60
271,46
271,72
271,47
271,76
271,67
271,49
271,97
271,112
271,141
271,64
273,90
273,10
273,41
273,12
273,52
273,144
273,65
273,109
273,110
273,113
273,88
273,15
273,26
273,72
273,37
273,122
273,20
273,116
273,63
273,119
273,104
273,22
273,159
273,79
273,40
274,92
274,25
274,44
274,70
274,114
274,19
274,47
274,48
274,76
274,20
275,82
275,102
275,110
275,45
275,16
275,84
275,116
275,63
275,104
275,40
276,0
276,105
276,12
276,25
276,13
276,65
276,4
276,113
276,26
276,83
276,36
276,47
276,76
276,20
276,62
276,134
276,21
276,143
276,22
276,78
276,79
276,40
276,23
276,64
277,68
277,44
277,125
277,96
277,126
277,6
277,46
277,89
277,122
277,20
277,116
277,50
277,143
277,22
277,97
277,79
277,64
278,90
278,81
278,59
278,2
278,144
278,4
278,110
278,103
278,139
278,44
278,16
278,83
278,89
278,84
278,37
278,7
278,47
278,122
278,48
278,8
278,76
278,116
278,119
278,104
278,23
279,80
279,61
279,125
279,16
279,26
279,83
279,6
279,89
279,19
279,49
279,112
279,40
280,87
280,59
280,102
280,110
280,45
280,37
280,57
280,122
280,63
280,40
281,51
281,68
281,25
281,94
281,113
281,60
281,14
281,61
281,16
281,96
281,17
281,46
281,72
281,76
281,63
281,79
281,40
281,64
284,137
284,42
284,11
284,59
284,12
284,35
284,147
284,16
284,21
284,49
286,24
286,25
286,60
286,44
286,88
286,96
286,111
286,37
286,62
286,63
286,21
286,79
286,40
287,43
287,110
287,139
287,60
287,125
287,89
287,134
287,21
287,39
287,64
288,80
288,87
288,92
288,69
288,144
288,94
288,102
288,110
288,113
288,60
288,74
288,162
288,46
288,57
288,116
288,134
288,21
288,50
288,108
288,79
290,10
290,81
290,99
290,33
290,25
