movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
dolemiteismyname,1.3163967,0.0,1.5984306,1.540741,1.2760891,1.3872011,0.0,0.5607937,1.2422214,1.6637492,0.8141521,1.25119,1.079704,0.80127037,0.91686285,0.90114325,0.0,1.1156386,1.135919,0.51639223,0.8407095,0.74303025,1.0286213,1.2137018,0.7807568,1.0234389,0.0,0.96114296,0.8493456,0.8182665
dontletgomovie,0.6105119,0.0,0.88047165,0.7585508,0.62126464,1.3504606,0.0,0.5380212,0.7818015,0.8781063,1.0349679,1.090266,1.1948217,0.59546936,0.813838,0.6474441,0.0,0.76786417,0.46742278,0.3519251,0.8113675,0.75067466,0.9331285,0.83377814,0.80643725,0.77992797,0.0,0.865669,0.6646268,0.77032065
doramovie,0.59408116,0.0,0.77926385,0.85398275,0.86206424,0.71367824,0.0,0.87850773,0.84816873,1.0956862,0.7898355,0.7746086,0.75767505,0.54974025,0.8397745,0.85625535,0.0,1.1611753,0.50997955,0.5850753,0.38669658,0.6739681,0.84981096,0.4771338,0.87036383,0.73723316,0.0,0.90469533,0.7282702,0.9469966
downtonabbey_official,0.7407308,0.0,1.591678,1.1693391,0.9381263,1.9948997,0.0,0.40132782,1.3441733,0.8960355,1.1264673,1.5912058,1.662491,1.1426789,1.1128937,1.1272385,0.0,0.7816463,1.1229552,0.40309316,1.0506902,1.1278785,1.3243288,1.1491734,1.2389734,0.9897978,0.0,1.3272817,0.84071237,1.3802401
dumbo,0.59371257,0.0,0.8073347,0.561054,0.6620749,0.6674733,0.0,0.5351609,0.80606097,0.63531023,0.30132872,0.815615,0.8273791,0.56464946,0.5786563,0.5580006,0.0,0.31638503,0.6952219,0.671233,0.69165814,0.40252,0.6783924,0.7268934,0.53574616,0.5158278,0.0,0.418932,0.5381026,0.5892041
escaperoom,0.5907058,0.0,1.090033,1.0153974,0.8338212,1.0561378,0.0,0.644237,0.83095104,1.1991879,0.45409483,0.8995249,1.0533857,0.8151692,0.6482769,0.701816,0.0,0.7819378,0.69654405,0.4996585,0.5840386,0.46712095,0.6725379,0.8195931,0.7616953,0.74390584,0.0,0.70534676,0.7427925,0.7729542
everybodyknowsmovie,0.39156252,0.0,0.5369867,0.5078481,0.4898868,0.7810091,0.0,0.4039719,0.72274286,0.41385522,0.3281036,0.6210957,0.79469824,0.39714858,0.44535133,0.4720788,0.0,0.3696713,0.54538214,0.2842315,0.42016268,0.43619,0.5650829,0.542994,0.71746486,0.31223392,0.0,0.36753497,0.39876938,0.50335604
fastandfuriousmovie,1.3444341,0.0,1.460474,1.3775003,1.1571791,2.1119397,0.0,0.66805834,1.4305004,1.4462372,0.8019657,1.453314,1.9707857,1.1854312,1.3010014,0.9467268,0.0,1.0179989,1.3748612,0.71369183,0.9627933,1.2454714,1.4349273,1.2823741,1.2623996,0.84879297,0.0,1.2016839,0.8054391,1.2893182
fightingwmyfam,0.68279827,0.0,1.4008418,1.0264771,1.217202,1.1470467,0.0,0.9876722,1.1490625,1.525229,1.0719439,1.2441902,1.1312629,0.5657433,1.2699548,1.1702045,0.0,0.8283355,0.65566474,0.72881603,1.0299411,0.47962052,0.8342269,0.72470665,1.0112486,0.7038713,0.0,0.9885573,0.77221256,1.1490061
fivefeetapartfilm,1.9433447,0.0,2.1527016,1.9300631,1.7469851,2.0770977,0.0,0.96256363,1.8806238,2.2768958,1.1651231,1.1333214,1.6345328,0.40036145,1.9019288,1.5955471,0.0,1.1908827,1.251622,0.6585766,1.2948359,0.8183609,1.3604648,1.2624476,1.75374,1.0604312,0.0,1.3764263,1.1841873,1.4772769
fordvferrari,0.37748456,0.0,0.7109086,0.8215578,0.74243605,0.8718722,0.0,0.55558,0.82852805,0.80422777,0.573902,0.67303956,0.66813505,0.5383594,0.78224266,0.51373893,0.0,0.7646819,0.58141035,0.34811446,0.624442,0.474644,0.58860385,0.58592343,0.59515953,0.32896224,0.0,0.41497532,0.62457997,0.5668408
freaksthefilm,0.5050969,0.0,0.5786831,0.6203543,0.7003265,0.7338929,0.0,0.6071129,0.79190314,0.9132348,0.66994053,0.7803961,1.0491967,0.76335883,0.65586793,0.928792,0.0,0.60140854,0.33833867,0.526457,0.55365527,0.4330374,0.2978206,0.51575756,0.73787063,0.7736897,0.0,0.6670867,0.62536436,0.7765518
geminimanmovie,0.7566739,0.0,1.0143132,0.55427957,0.7652946,0.95252633,0.0,0.5989692,0.8082597,1.1175319,0.6992672,0.69892836,1.0148914,0.4208558,0.81858647,0.76969355,0.0,0.3459661,0.67386633,0.4415743,0.73049724,0.5810096,0.40444553,0.7243415,0.8353886,0.5338898,0.0,0.6706105,0.6300577,0.78261507
glassmovie,0.67784125,0.0,0.9479389,0.94362456,0.6000504,1.0906124,0.0,0.34185296,1.0318419,0.8442093,0.43205482,0.9466645,1.0257783,0.6942018,0.8212073,0.6232059,0.0,0.52568185,0.89722705,0.4327119,0.5197839,0.49870825,0.7948903,0.6382091,0.6999031,0.63570094,0.0,0.5826999,0.71073264,0.5863418
gloriabellmovie,0.48859,0.0,1.0924038,0.6517396,0.81154734,0.8499987,0.0,0.47541073,1.069058,0.92906415,0.3656695,0.96261156,0.87098145,0.80583787,0.61860836,0.6310551,0.0,0.541868,0.89698213,0.5902186,0.43394047,0.3889715,0.8348956,0.6676439,1.0284836,0.645602,0.0,0.59354424,0.883054,0.5231014
godzillamovie,0.6786992,0.0,1.0801401,0.83547413,0.9173712,0.8794991,0.0,0.52345693,0.86012524,0.92885137,0.5872374,0.45252785,0.982435,0.4740994,0.8016131,0.62739396,0.0,0.93586,0.75566864,0.30840513,0.39414275,0.3844924,0.99306583,0.51178813,0.92655003,0.7511648,0.0,0.86269325,0.70403326,0.7129931
goldfinchmovie,0.77174944,0.0,1.1540394,0.9502114,0.8294675,1.1719162,0.0,0.5426016,1.0453582,1.0167098,0.611962,0.89447767,1.2637771,0.7119353,0.92480946,0.6433848,0.0,0.67667776,0.9174069,0.5911557,0.48860484,0.66538256,0.730351,0.52009964,0.47847944,0.69289,0.0,0.730198,0.49069664,1.0777199
goodboysmovie,0.699337,0.038590044,1.0202713,0.72514796,1.1097217,1.2738879,0.0,0.60333025,1.390006,0.84097266,0.5740347,0.60288894,1.1817669,0.949394,1.2503155,0.9347289,0.0,0.8431218,0.88893753,0.9025116,0.6830567,0.90865815,0.95459086,0.46147507,0.5926349,0.55161774,0.0,0.8124883,0.8941787,1.4729253
goodliarmovie,0.71920305,0.0,1.1268744,0.92428976,1.4617434,1.4933901,0.0,0.97389865,1.145149,1.3946663,1.182947,0.82494,1.056578,0.45471033,1.3261657,0.8287469,0.0,1.3448607,1.0204253,0.8038499,0.8266643,0.80756676,1.0752269,0.76948035,1.1178274,0.6121237,0.0,1.0645646,0.8098412,1.2004261
gretafilm,0.42533338,0.0,0.6244892,0.60950226,0.73349434,1.2146268,0.0,0.6542922,0.68521523,0.80715084,0.5932686,1.0921905,1.238828,0.38866806,0.49564224,0.7529746,0.0,0.5518014,0.753547,0.4203154,0.6812226,0.9066651,0.7431873,0.9539602,0.85014427,0.39302206,0.0,0.9010723,0.48761076,0.9704105
halathemovie,1.091949,0.0,1.7525337,0.766628,1.5913033,1.2440974,0.0,0.87801725,1.6586977,1.6449432,0.8408556,0.93682104,1.5215621,0.5503057,1.5886875,0.8935831,0.0,0.8001136,1.3629642,0.7176781,1.2932295,0.7850744,1.1493859,1.2077582,1.0323925,0.8345109,0.0,1.2668401,1.0954238,1.2326403
happydeathdaymovie,0.3993125,0.024788883,0.5609938,0.48577923,0.73445475,0.6229837,0.0,0.53953683,0.6129507,0.54144996,0.36328664,0.5373736,0.5926273,0.31842375,0.47538078,0.45987076,0.0,0.68558174,0.30309248,0.17160559,0.48358357,0.2428901,0.76036686,0.46356243,0.4305104,0.54140276,0.0,0.5305499,0.48791996,0.4961075
harrietfilm,0.48437917,0.0,0.7086075,0.6517968,0.78524464,1.0572896,0.0,0.5190021,1.0874218,0.6646547,0.55501354,0.8192503,1.032912,0.5551698,0.5443792,0.5413171,0.0,0.7370042,0.77458096,0.37001052,0.45614886,0.6660124,0.6791435,0.7551979,1.1125387,0.46595886,0.0,0.56737596,0.6402934,0.5783368
hellboymovie,0.54755664,0.0,0.679068,0.6821309,0.5958257,0.89942026,0.0,0.72762215,0.56902426,0.8892681,0.77654386,0.5918448,1.197851,0.32393423,0.7709266,0.5477138,0.0,0.9238069,0.62976056,0.50207555,0.5542215,0.64457804,0.75210303,0.5679827,0.55257905,0.74045956,0.0,0.78056127,0.5863335,0.6888115
hersmellmovie,1.361781,0.0,2.5806108,1.2695174,1.5415202,1.6751579,0.0,0.7491114,2.1005273,1.0944172,1.0294305,1.274086,1.7777716,0.76734614,1.1954955,0.8604697,0.0,0.58686143,1.164475,0.031612217,1.100101,0.82625824,1.1890166,1.0768279,1.3155721,1.2118077,0.0,1.1497195,0.7734931,1.3053308
highlifemovie,0.3886872,0.0,0.86776125,0.58854175,0.63770455,0.624573,0.0,0.3686582,0.81635845,0.654106,0.39954025,0.7790018,0.57899785,0.5907328,0.44492957,0.43606785,0.0,0.46973008,0.60643995,0.466869,0.4404661,0.3752064,0.6339707,0.49808955,0.7363145,0.46482638,0.0,0.42831558,0.63401884,0.4510553
highstrungmovie,6.7797613,0.0,13.4262495,7.761637,10.467566,10.524578,0.0,3.3489072,11.292887,9.367308,6.233457,6.5735874,10.497204,4.8015094,8.204125,5.4590755,0.0,5.899939,7.003586,3.1705127,5.2302303,4.288315,5.89822,4.159245,6.0934477,5.481184,0.0,7.0560803,5.353779,8.792927
honeyboymovie,1.0129225,0.0,1.2347101,1.5659013,1.877581,1.9530681,0.0,1.8342679,1.7207423,1.5446858,1.0760673,1.3733793,1.7140769,0.80202496,1.7269075,0.915893,0.0,1.9996707,0.8569997,0.464299,1.4951532,1.268236,1.3168296,1.0101756,1.1527188,0.913557,0.0,1.2704792,0.8762505,1.7343209
hotelmumbaifilm,0.55285114,0.0,0.95266205,0.7263825,0.76967037,0.7679261,0.0,0.41758466,0.880888,0.8420882,0.65919906,0.7279061,0.7568363,0.49080598,0.7594671,0.39955527,0.0,0.61275953,0.54549277,0.59244955,0.43457252,0.5112655,0.6757945,0.42905065,0.74983096,0.5409161,0.0,0.38801697,0.6193163,0.5891868
