movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
lighthousemovie,0.6553463,0.84608316,0.7757081,0.3120655,0.0,0.58604246,0.3154302,0.5215854,0.46624556,0.5728677,0.6522077,0.7395809,0.0,0.33134288,0.39659244,0.49245492,0.33139732,0.8634477,0.33013743,0.26220578,0.0,0.19586399,0.65345865,0.0,0.61758244,0.35598472,0.35268793,0.65491533,0.3126464,0.21474753
lionking,1.7978814,2.0215907,1.2699358,0.6967399,0.0,1.2293786,0.4993334,1.174824,1.1155943,0.93343973,1.2596915,1.6729842,0.0,1.1276095,1.0735706,1.1678,0.46026522,1.7115883,0.8754451,0.64990556,0.0,0.13571364,1.5706204,0.0,1.2772293,0.9394672,0.8393202,0.63325953,0.5540872,0.504716
littlethemovie,1.2782387,2.1356437,1.4739594,0.7334619,0.0,0.98358434,0.64927936,0.8628172,0.57724667,0.9950803,1.416682,1.1000924,0.0,0.64114654,0.6156478,0.9597517,0.50773764,1.5883435,0.7408045,0.8253005,0.0,0.0,1.0687478,0.0,1.210073,0.82857656,0.62806463,0.8519896,0.76974344,0.50163716
littlewomenmovie,0.99122775,1.3621888,1.6597433,0.23497294,0.0,1.0600297,0.87631536,1.0104283,0.76392317,1.1127448,1.2764645,1.5786952,0.0,0.54410464,1.073821,1.4125459,0.9357112,1.3368479,0.8907184,0.6462973,0.0,0.05735863,1.2414005,0.0,0.82541054,1.0336262,1.1491339,1.0409721,0.98027253,0.37468332
littlewoodsfilm,0.98507696,1.3259833,1.1060197,0.18530254,0.0,0.91166633,0.5270349,0.83843184,0.5066797,0.91760534,1.2224462,1.1357962,0.0,0.5500488,0.57018214,0.5174239,0.5145939,1.1869581,0.49685812,0.25151426,0.0,0.15129496,0.8168373,0.0,0.818917,0.26266092,0.4993696,0.86175096,0.6152128,0.6113206
longshotmovie,0.9817153,1.5474485,1.0906844,0.37167513,0.0,0.8704356,0.30813444,0.7676904,0.73275864,0.8995711,1.1591668,1.085903,0.0,0.47578117,0.43525904,0.86311966,0.56274235,1.1747264,0.22095436,0.60558444,0.0,0.06050785,1.1309576,0.0,0.84009093,0.55598915,0.5309264,0.85112035,0.67638725,0.33597776
lordsofchaosmovie,0.51878506,0.788182,0.7698459,0.16406715,0.0,0.6009611,0.20003769,0.48253742,0.40275708,0.64666,0.50155056,0.7733811,0.0,0.13167474,0.46858805,0.4283318,0.5077133,0.77560854,0.42357993,0.43902543,0.0,0.14143188,0.6500586,0.0,0.5177467,0.32643425,0.41709617,0.46433148,0.27662322,0.34912816
lucyintheskyfilm,0.8265288,0.94493735,0.5666546,0.32848418,0.0,0.55649567,0.49436477,0.579961,0.36755714,0.72763324,0.82558024,0.8986958,0.0,0.37987915,0.31820846,0.46120465,0.45672566,0.90480757,0.48798174,0.16742103,0.0,0.027595766,0.6574149,0.0,0.6037808,0.52515066,0.40280044,0.5478246,0.521901,0.1855561
mamovie2019,1.5979924,1.9989667,1.6585674,0.44848326,0.0,0.86174715,1.0009342,1.1587771,0.7313345,0.9142331,1.8822005,2.1200569,0.0,0.36603454,1.0104101,0.7681785,0.80203855,1.5322249,0.606821,0.6617504,0.0,0.2661618,1.5732613,0.0,1.0118045,0.88740754,0.62954617,1.1869787,0.61727047,0.39788878
marriagestory,1.196702,1.5765376,1.6628721,0.53035367,0.0,0.87762386,0.6686163,1.1443579,0.7185205,0.89315253,1.28548,1.3759336,0.0,0.9464269,0.75017583,1.27785,0.80174804,1.04622,0.8568551,0.88594633,0.0,0.047315627,1.1595299,0.0,0.83252007,1.0269352,0.9865184,1.1296177,0.70783716,0.3642446
meettheaddams,1.0666813,1.2747666,0.9407661,0.45493597,0.0,1.1799024,0.5032535,0.72200984,0.6375807,0.83075017,1.2711687,1.0928565,0.0,0.66125464,0.6501883,0.5052726,0.5205755,1.1087743,0.43337947,0.42668456,0.0,0.0,1.0367906,0.0,0.78522915,0.44255796,0.55691063,0.5420203,0.73417443,0.3396624
meninblack,1.1772704,1.8445561,1.4905839,0.57793796,0.0,0.8877435,1.1715933,0.8981199,0.69492555,1.4835479,1.0089551,1.4592588,0.0,0.35063976,1.0139719,1.1104426,1.1903682,1.6412984,0.5210161,0.7608692,0.0,0.47312832,1.4013844,0.0,1.0818781,0.8049737,0.95684326,1.4160457,0.8046359,0.31525823
midsommarmovie,1.0614866,1.2725255,1.2621653,0.30680084,0.0,0.8445273,0.6424444,0.8611791,0.5906453,0.99216795,1.0568141,1.1949637,0.0,0.49270746,0.48344457,0.95294964,0.58725196,1.3530303,0.4610018,0.36606047,0.0,0.24957763,0.9636569,0.0,0.9354433,0.5150209,0.67252755,1.0992023,0.5389536,0.24095084
midwaymovie,1.081617,2.0666962,1.0909393,0.5831764,0.0,0.9802582,1.0282893,0.67717123,0.63210726,1.0862026,1.0007241,1.6011554,0.0,0.48075792,1.2464288,0.69870156,0.9250961,1.5779808,0.8109475,0.421129,0.0,0.20874128,1.1731288,0.0,1.134707,0.7468657,0.5165393,0.7520484,0.8262048,0.79752606
missbalamovie,1.0182766,1.560062,1.4217291,0.43195283,0.0,1.0802772,0.7622574,0.79012597,0.7068802,1.0268973,1.2006376,1.4035175,0.0,0.5867457,0.82191014,1.057791,0.84407735,1.2231556,0.61682296,0.54158527,0.0,0.27640623,1.2682652,0.0,0.9144041,0.9600692,0.9098712,0.9705522,0.92176425,0.4545086
